FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER,AGE_SUM,TURNOUT_RATE,FOR_RATE
2296,3169,5465,0,2,10639,17171.0,29035,563.3,18.88691639,0.9888247340111752,0.0016762899983237098,0.009498975990501023,0.487334699,0.512665301,24,4165.0,0.39,12.0,2.8,2694,1517,2774,1729,1925,2,0.011175266,3654,5548,10639,0.513676097377573,0.420128087831656
2517,6954,9471,0,2,21361,16450.0,29375,800.1,26.69791276,0.9525831899525832,0.001680123001680123,0.04573668704573668,0.493022822,0.506977178,36,4688.0,0.23,11.2,2.9,5888,2375,6414,3693,2991,2,0.04741681,6684,12828,21361,0.44337811900191937,0.26575863161229013
3621,4169,7790,0,2,15860,19051.0,36051,578.1,27.43469988,0.9892872890107127,0.001386350998613649,0.00932635999067364,0.498393093,0.501606907,28,5101.0,0.33,6.9,2.2,4949,955,4977,2777,2202,1,0.010712711,4979,9954,15860,0.4911727616645649,0.4648267008985879
457,1015,1472,0,2,3670,14474.0,26564,1640.1,2.237668435,0.692370572,0.000817439,0.306811989,0.506811989,0.493188011,16,867.0,0.24,21.7,3.6,1268,250,981,710,461,2,0.307629428,1171,1962,3670,0.4010899182561308,0.31046195652173914
1011,1223,2234,0,2,5601,15998.0,26708,574.6,9.74765054,0.9925,0.0,0.0075,0.491785714,0.508214286,26,2572.0,0.45,11.9,3.5,1565,290,1361,1088,1297,2,0.0075,2385,2722,5601,0.39885734690233887,0.45255147717099375
1306,1578,2884,0,2,3076,16335.0,21615,1137.0,2.705364996,0.995441224,0.000651254,0.003907522,0.485183979,0.514816021,16,2160.0,0.67,13.2,2.0,719,125,673,751,808,2,0.0045587760000000005,1559,1346,3076,0.9375812743823146,0.45284327323162277
669,986,1655,0,2,4756,18298.0,25159,838.9,5.669328883,0.9383417510000001,0.0004208750000000001,0.061237374000000004,0.499579125,0.500420875,25,2640.0,0.55,14.2,3.1,1284,251,1167,1010,1044,2,0.061658249,2054,2334,4756,0.3479814970563499,0.4042296072507553
2799,7073,9872,0,2,23231,15104.0,30080,3470.8,6.693269563,0.92809725,0.02659712,0.04530563,0.518363652,0.481636348,41,3326.0,0.15,10.5,3.7,7594,2087,7729,3513,2308,2,0.07190275,5821,15458,23231,0.4249494210322414,0.2835291734197731
303,544,847,0,2,2111,11045.0,19563,1306.6,1.615643655,0.512565197,0.000474158,0.486960645,0.501659554,0.498340446,14,460.0,0.22,33.4,5.8,783,152,534,369,273,2,0.487434803,642,1068,2111,0.4012316437707248,0.3577331759149941
656,882,1538,0,2,3134,17355.0,22937,570.4,5.494389902,0.995850622,0.000319183,0.003830195,0.50111714,0.49888286,15,1204.0,0.37,17.0,4.5,866,162,736,615,755,2,0.0041493780000000004,1370,1472,3134,0.4907466496490108,0.4265279583875163
